id,category,review,notes,date,rating,customer_region
2908,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-12-18,5,NA
2909,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-12-19,5,EU
2910,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-12-20,5,APAC
2911,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-12-21,1,NA
2912,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-12-22,5,EU
2913,Books,"Exceptional pacing and layered mystery kept me hooked; but Predictable plot with shallow character arcs","Mixed experience",2024-12-23,3,APAC
2914,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-12-24,1,NA
2915,Home,"Assembly intuitive; materials feel premium and dense; but Handle cracked under light rotational stress","Mixed experience",2024-12-25,3,EU
2916,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-12-26,5,APAC
2917,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-12-27,1,NA
2918,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-12-28,2,EU
2919,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-12-29,2,APAC
2920,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-12-30,5,NA
2921,Books,"Exceptional pacing and layered mystery kept me hooked; but Predictable plot with shallow character arcs","Mixed experience",2024-01-01,3,EU
2922,Electronics,"Battery life outstanding; display vibrant under sunlight; but Magnets detached within minutes of first use","Mixed experience",2024-01-02,3,APAC
2923,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-01-03,5,NA
2924,Toys,"STEM kit engaged kids collaboratively for hours; but Overheats rapidly during moderate video rendering","Mixed experience",2024-01-04,3,EU
2925,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-01-05,5,APAC
2926,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-01-06,5,NA
2927,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-01-07,2,EU
2928,Pets,"Dogs consistently engage; durable exterior after weeks; but Color blotched and faded after single wash","Mixed experience",2024-01-08,3,APAC
2929,Books,"Exceptional pacing and layered mystery kept me hooked; but Predictable plot with shallow character arcs","Mixed experience",2024-01-09,3,NA
2930,Electronics,"Battery life outstanding; display vibrant under sunlight","Consistent praise pattern",2024-01-10,5,EU
2931,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-01-11,5,APAC
2932,Toys,"STEM kit engaged kids collaboratively for hours; but Overheats rapidly during moderate video rendering","Mixed experience",2024-01-12,3,NA
2933,Grocery,"Cold brew smooth; balanced acidity and chocolate finish; but Packaging crushed; contents stale and flavorless","Mixed experience",2024-01-13,3,EU
2934,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-01-14,5,APAC
2935,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-01-15,1,NA
2936,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-01-16,5,EU
2937,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-01-17,5,APAC
2938,Electronics,"Battery life outstanding; display vibrant under sunlight; but Magnets detached within minutes of first use","Mixed experience",2024-01-18,3,NA
2939,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-01-19,2,EU
2940,Toys,"STEM kit engaged kids collaboratively for hours; but Overheats rapidly during moderate video rendering","Mixed experience",2024-01-20,3,APAC
2941,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-01-21,1,NA
2942,Clothing,"Breathable fabric with consistent color retention; but Fabric seam frayed and stuffing escaped rapidly","Mixed experience",2024-01-22,3,EU
2943,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-01-23,5,APAC
2944,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-01-24,5,NA
2945,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-01-25,2,EU
2946,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-01-26,2,APAC
2947,Home,"Assembly intuitive; materials feel premium and dense; but Handle cracked under light rotational stress","Mixed experience",2024-01-27,3,NA
2948,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-01-28,5,EU
2949,Grocery,"Cold brew smooth; balanced acidity and chocolate finish; but Packaging crushed; contents stale and flavorless","Mixed experience",2024-01-29,3,APAC
2950,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-01-30,1,NA
2951,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-01-31,2,EU
2952,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-02-01,2,APAC
2953,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-02-02,1,NA
2954,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-02-03,2,EU
2955,Home,"Assembly intuitive; materials feel premium and dense; but Handle cracked under light rotational stress","Mixed experience",2024-02-04,3,APAC
2956,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-02-05,1,NA
2957,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-02-06,2,EU
2958,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-02-07,5,APAC
2959,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-02-08,1,NA
2960,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-02-09,2,EU
2961,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-02-10,2,APAC
2962,Electronics,"Battery life outstanding; display vibrant under sunlight; but Magnets detached within minutes of first use","Mixed experience",2024-02-11,3,NA
2963,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-02-12,2,EU
2964,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-02-13,2,APAC
2965,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-02-14,5,NA
2966,Clothing,"Breathable fabric with consistent color retention; but Fabric seam frayed and stuffing escaped rapidly","Mixed experience",2024-02-15,3,EU
2967,Tools,"High torque with balanced vibration control; but Warped panel and misaligned pre-drilled holes","Mixed experience",2024-02-16,3,APAC
2968,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-02-17,1,NA
2969,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-02-18,2,EU
2970,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-02-19,2,APAC
2971,Home,"Assembly intuitive; materials feel premium and dense; but Handle cracked under light rotational stress","Mixed experience",2024-02-20,3,NA
2972,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-02-21,5,EU
2973,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-02-22,2,APAC
2974,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-02-23,5,NA
2975,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-02-24,2,EU
2976,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-02-25,5,APAC
2977,Books,"Device emitted lavender scent unexpectedly � unique-2976","Outlier narrative",2024-02-26,4,NA
2978,Electronics,"Battery life outstanding; display vibrant under sunlight","Consistent praise pattern",2024-02-27,5,EU
2979,Home,"Puzzle reveals phosphorescent star map � unique-2978","Outlier narrative",2024-02-28,4,APAC
2980,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-02-29,1,NA
2981,Grocery,"Cold brew smooth; balanced acidity and chocolate finish; but Packaging crushed; contents stale and flavorless","Mixed experience",2024-03-01,3,EU
2982,Clothing,"Parrot mimics startup chime with uncanny accuracy � unique-2981","Outlier narrative",2024-03-02,4,APAC
2983,Tools,"High torque with balanced vibration control; but Warped panel and misaligned pre-drilled holes","Mixed experience",2024-03-03,3,NA
2984,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-03-04,2,EU
2985,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-03-05,5,APAC
2986,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-03-06,1,NA
2987,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-03-07,2,EU
2988,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-03-08,2,APAC
2989,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-03-09,5,NA
2990,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-03-10,5,EU
2991,Tools,"High torque with balanced vibration control; but Warped panel and misaligned pre-drilled holes","Mixed experience",2024-03-11,3,APAC
2992,Pets,"Chair whispers soft static when moonlight enters � unique-2991","Outlier narrative",2024-03-12,4,NA
2993,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-03-13,5,EU
2994,Electronics,"Sauce tastes like smoked cinnamon lightning � unique-2993","Outlier narrative",2024-03-14,4,APAC
2995,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-03-15,1,NA
2996,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-03-16,5,EU
2997,Grocery,"Cold brew smooth; balanced acidity and chocolate finish; but Packaging crushed; contents stale and flavorless","Mixed experience",2024-03-17,3,APAC
2998,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-03-18,1,NA
2999,Tools,"Chair whispers soft static when moonlight enters � unique-2998","Outlier narrative",2024-03-19,4,EU
3000,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-03-20,5,APAC
3001,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-03-21,5,NA
3002,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-03-22,2,EU
3003,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-03-23,2,APAC
3004,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-03-24,1,NA
3005,Grocery,"Cold brew smooth; balanced acidity and chocolate finish; but Packaging crushed; contents stale and flavorless","Mixed experience",2024-03-25,3,EU
3006,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-03-26,5,APAC
3007,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-03-27,1,NA
3008,Pets,"Dogs consistently engage; durable exterior after weeks; but Color blotched and faded after single wash","Mixed experience",2024-03-28,3,EU
3009,Books,"Exceptional pacing and layered mystery kept me hooked; but Predictable plot with shallow character arcs","Mixed experience",2024-03-29,3,APAC
3010,Electronics,"Parrot mimics startup chime with uncanny accuracy � unique-3009","Outlier narrative",2024-03-30,4,NA
3011,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-03-31,5,EU
3012,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-04-01,5,APAC
3013,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-04-02,5,NA
3014,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-04-03,2,EU
3015,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-04-04,5,APAC
3016,Pets,"Dogs consistently engage; durable exterior after weeks; but Color blotched and faded after single wash","Mixed experience",2024-04-05,3,NA
3017,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-04-06,5,EU
3018,Electronics,"Battery life outstanding; display vibrant under sunlight","Consistent praise pattern",2024-04-07,5,APAC
3019,Home,"Device emitted lavender scent unexpectedly � unique-3018","Outlier narrative",2024-04-08,4,NA
3020,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-04-09,2,EU
3021,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-04-10,2,APAC
3022,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-04-11,1,NA
3023,Tools,"High torque with balanced vibration control; but Warped panel and misaligned pre-drilled holes","Mixed experience",2024-04-12,3,EU
3024,Pets,"Parrot mimics startup chime with uncanny accuracy � unique-3023","Outlier narrative",2024-04-13,4,APAC
3025,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-04-14,5,NA
3026,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-04-15,2,EU
3027,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-04-16,5,APAC
3028,Toys,"Puzzle reveals phosphorescent star map � unique-3027","Outlier narrative",2024-04-17,4,NA
3029,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-04-18,2,EU
3030,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-04-19,5,APAC
3031,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-04-20,1,NA
3032,Pets,"Dogs consistently engage; durable exterior after weeks; but Color blotched and faded after single wash","Mixed experience",2024-04-21,3,EU
3033,Books,"Exceptional pacing and layered mystery kept me hooked; but Predictable plot with shallow character arcs","Mixed experience",2024-04-22,3,APAC
3034,Electronics,"Battery life outstanding; display vibrant under sunlight","Consistent praise pattern",2024-04-23,5,NA
3035,Home,"Assembly intuitive; materials feel premium and dense; but Handle cracked under light rotational stress","Mixed experience",2024-04-24,3,EU
3036,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-04-25,5,APAC
3037,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-04-26,5,NA
3038,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-04-27,2,EU
3039,Tools,"High torque with balanced vibration control; but Warped panel and misaligned pre-drilled holes","Mixed experience",2024-04-28,3,APAC
3040,Pets,"Dogs consistently engage; durable exterior after weeks; but Color blotched and faded after single wash","Mixed experience",2024-04-29,3,NA
3041,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-04-30,5,EU
3042,Electronics,"Battery life outstanding; display vibrant under sunlight; but Magnets detached within minutes of first use","Mixed experience",2024-05-01,3,APAC
3043,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-05-02,1,NA
3044,Toys,"STEM kit engaged kids collaboratively for hours; but Overheats rapidly during moderate video rendering","Mixed experience",2024-05-03,3,EU
3045,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-05-04,5,APAC
3046,Clothing,"Breathable fabric with consistent color retention; but Fabric seam frayed and stuffing escaped rapidly","Mixed experience",2024-05-05,3,NA
3047,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-05-06,5,EU
3048,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-05-07,5,APAC
3049,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-05-08,1,NA
3050,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-05-09,2,EU
3051,Home,"Assembly intuitive; materials feel premium and dense; but Handle cracked under light rotational stress","Mixed experience",2024-05-10,3,APAC
3052,Toys,"STEM kit engaged kids collaboratively for hours; but Overheats rapidly during moderate video rendering","Mixed experience",2024-05-11,3,NA
3053,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-05-12,5,EU
3054,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-05-13,5,APAC
3055,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-05-14,1,NA
3056,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-05-15,5,EU
3057,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-05-16,5,APAC
3058,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-05-17,1,NA
3059,Home,"Assembly intuitive; materials feel premium and dense; but Handle cracked under light rotational stress","Mixed experience",2024-05-18,3,EU
3060,Toys,"STEM kit engaged kids collaboratively for hours; but Overheats rapidly during moderate video rendering","Mixed experience",2024-05-19,3,APAC
3061,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-05-20,5,NA
3062,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-05-21,5,EU
3063,Tools,"High torque with balanced vibration control; but Warped panel and misaligned pre-drilled holes","Mixed experience",2024-05-22,3,APAC
3064,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-05-23,1,NA
3065,Books,"Exceptional pacing and layered mystery kept me hooked; but Predictable plot with shallow character arcs","Mixed experience",2024-05-24,3,EU
3066,Electronics,"Battery life outstanding; display vibrant under sunlight; but Magnets detached within minutes of first use","Mixed experience",2024-05-25,3,APAC
3067,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-05-26,5,NA
3068,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-05-27,5,EU
3069,Grocery,"Cold brew smooth; balanced acidity and chocolate finish; but Packaging crushed; contents stale and flavorless","Mixed experience",2024-05-28,3,APAC
3070,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-05-29,1,NA
3071,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-05-30,5,EU
3072,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-05-31,2,APAC
3073,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-06-01,1,NA
3074,Electronics,"Battery life outstanding; display vibrant under sunlight","Consistent praise pattern",2024-06-02,5,EU
3075,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-06-03,5,APAC
3076,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-06-04,5,NA
3077,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-06-05,5,EU
3078,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-06-06,5,APAC
3079,Tools,"Wrench resonates faint harmonic at even torque � unique-3078","Outlier narrative",2024-06-07,4,NA
3080,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-06-08,2,EU
3081,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-06-09,2,APAC
3082,Electronics,"Device emitted lavender scent unexpectedly � unique-3081","Outlier narrative",2024-06-10,4,NA
3083,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-06-11,5,EU
3084,Toys,"STEM kit engaged kids collaboratively for hours; but Overheats rapidly during moderate video rendering","Mixed experience",2024-06-12,3,APAC
3085,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-06-13,5,NA
3086,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-06-14,2,EU
3087,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-06-15,5,APAC
3088,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-06-16,1,NA
3089,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-06-17,2,EU
3090,Electronics,"Battery life outstanding; display vibrant under sunlight; but Magnets detached within minutes of first use","Mixed experience",2024-06-18,3,APAC
3091,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-06-19,5,NA
3092,Toys,"STEM kit engaged kids collaboratively for hours; but Overheats rapidly during moderate video rendering","Mixed experience",2024-06-20,3,EU
3093,Grocery,"Cold brew smooth; balanced acidity and chocolate finish; but Packaging crushed; contents stale and flavorless","Mixed experience",2024-06-21,3,APAC
3094,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-06-22,5,NA
3095,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-06-23,5,EU
3096,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-06-24,5,APAC
3097,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-06-25,1,NA
3098,Electronics,"Battery life outstanding; display vibrant under sunlight; but Magnets detached within minutes of first use","Mixed experience",2024-06-26,3,EU
3099,Home,"Sauce tastes like smoked cinnamon lightning � unique-3098","Outlier narrative",2024-06-27,4,APAC
3100,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-06-28,5,NA
3101,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-06-29,5,EU
3102,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-06-30,2,APAC
3103,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-07-01,5,NA
3104,Pets,"Dogs consistently engage; durable exterior after weeks; but Color blotched and faded after single wash","Mixed experience",2024-07-02,3,EU
3105,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-07-03,2,APAC
3106,Electronics,"Battery life outstanding; display vibrant under sunlight; but Magnets detached within minutes of first use","Mixed experience",2024-07-04,3,NA
3107,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-07-05,2,EU
3108,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-07-06,5,APAC
3109,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-07-07,1,NA
3110,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-07-08,2,EU
3111,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-07-09,2,APAC
3112,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-07-10,5,NA
3113,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-07-11,2,EU
3114,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-07-12,2,APAC
3115,Home,"Parrot mimics startup chime with uncanny accuracy � unique-3114","Outlier narrative",2024-07-13,4,NA
3116,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-07-14,2,EU
3117,Grocery,"Device emitted lavender scent unexpectedly � unique-3116","Outlier narrative",2024-07-15,4,APAC
3118,Clothing,"Chair whispers soft static when moonlight enters � unique-3117","Outlier narrative",2024-07-16,4,NA
3119,Tools,"High torque with balanced vibration control; but Warped panel and misaligned pre-drilled holes","Mixed experience",2024-07-17,3,EU
3120,Pets,"Dogs consistently engage; durable exterior after weeks; but Color blotched and faded after single wash","Mixed experience",2024-07-18,3,APAC
3121,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-07-19,1,NA
3122,Electronics,"Battery life outstanding; display vibrant under sunlight; but Magnets detached within minutes of first use","Mixed experience",2024-07-20,3,EU
3123,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-07-21,5,APAC
3124,Toys,"STEM kit engaged kids collaboratively for hours; but Overheats rapidly during moderate video rendering","Mixed experience",2024-07-22,3,NA
3125,Grocery,"Cold brew smooth; balanced acidity and chocolate finish; but Packaging crushed; contents stale and flavorless","Mixed experience",2024-07-23,3,EU
3126,Clothing,"Breathable fabric with consistent color retention; but Fabric seam frayed and stuffing escaped rapidly","Mixed experience",2024-07-24,3,APAC
3127,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-07-25,1,NA
3128,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-07-26,2,EU
3129,Books,"Exceptional pacing and layered mystery kept me hooked; but Predictable plot with shallow character arcs","Mixed experience",2024-07-27,3,APAC
3130,Electronics,"Battery life outstanding; display vibrant under sunlight; but Magnets detached within minutes of first use","Mixed experience",2024-07-28,3,NA
3131,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-07-29,5,EU
3132,Toys,"STEM kit engaged kids collaboratively for hours; but Overheats rapidly during moderate video rendering","Mixed experience",2024-07-30,3,APAC
3133,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-07-31,1,NA
3134,Clothing,"Sauce tastes like smoked cinnamon lightning � unique-3133","Outlier narrative",2024-08-01,4,EU
3135,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-08-02,5,APAC
3136,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-08-03,1,NA
3137,Books,"Exceptional pacing and layered mystery kept me hooked; but Predictable plot with shallow character arcs","Mixed experience",2024-08-04,3,EU
3138,Electronics,"Battery life outstanding; display vibrant under sunlight","Consistent praise pattern",2024-08-05,5,APAC
3139,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-08-06,1,NA
3140,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-08-07,5,EU
3141,Grocery,"Cold brew smooth; balanced acidity and chocolate finish; but Packaging crushed; contents stale and flavorless","Mixed experience",2024-08-08,3,APAC
3142,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-08-09,5,NA
3143,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-08-10,2,EU
3144,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-08-11,2,APAC
3145,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-08-12,1,NA
3146,Electronics,"Battery life outstanding; display vibrant under sunlight","Consistent praise pattern",2024-08-13,5,EU
3147,Home,"Puzzle reveals phosphorescent star map � unique-3146","Outlier narrative",2024-08-14,4,APAC
3148,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-08-15,5,NA
3149,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-08-16,5,EU
3150,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-08-17,2,APAC
3151,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-08-18,5,NA
3152,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-08-19,2,EU
3153,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-08-20,5,APAC
3154,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-08-21,1,NA
3155,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-08-22,5,EU
3156,Toys,"STEM kit engaged kids collaboratively for hours; but Overheats rapidly during moderate video rendering","Mixed experience",2024-08-23,3,APAC
3157,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-08-24,5,NA
3158,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-08-25,2,EU
3159,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-08-26,2,APAC
3160,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-08-27,1,NA
3161,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-08-28,2,EU
3162,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-08-29,2,APAC
3163,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-08-30,5,NA
3164,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-08-31,5,EU
3165,Grocery,"Sparse experimental haiku about quantum states � unique-3164","Outlier narrative",2024-09-01,4,APAC
3166,Clothing,"Breathable fabric with consistent color retention; but Fabric seam frayed and stuffing escaped rapidly","Mixed experience",2024-09-02,3,NA
3167,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-09-03,5,EU
3168,Pets,"Dogs consistently engage; durable exterior after weeks; but Color blotched and faded after single wash","Mixed experience",2024-09-04,3,APAC
3169,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-09-05,5,NA
3170,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-09-06,2,EU
3171,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-09-07,5,APAC
3172,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-09-08,1,NA
3173,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-09-09,5,EU
